"names","importance"
"precipitation",0.000946271352746218
"temperature",0.00147344919621529
"referencePotET",0.00175967508300919
"airEntry1",0.00261666050730018
"airEntry2",0.000269626661586465
"aqThick",0.000146681406682585
"area_pcr",0.000113621165608519
"aridityIdx",0.00069713243948433
"bankArea",0.000235375306213637
"bankDepth",0.000249278706463258
"bankWidth",0.000201872244374765
"demAverage",0.000133254711363528
"forestFraction",0.000239928077562912
"groundwaterDepth",0.000494275079374193
"KSat1",0.00038086167492539
"KSat2",6.62314410549221e-05
"kSatAquifer",7.17500951063133e-05
"percolationImp",8.16262709951948e-05
"poreSize1",5.52224028795727e-05
"poreSize2",0.000262536399974742
"recessionCoeff",0.000136163892288924
"resWC1",0.000246821343367482
"resWC2",8.67362344241961e-05
"satWC1",0.00153250524461485
"satWC2",6.89321240298264e-05
"slopeLength",0.000855067441722492
"specificYield",0.000126153594827919
"storage2",5.73048210910478e-05
"storDepth1",3.19222543087712e-05
"tanSlope",0.000233659206971962
