"names","importance"
"pcr",0.00135502518235726
"precipitation",0.00016472523431388
"temperature",0.000363009367782172
"referencePotET",0.000403068953234799
"desalinationAbstraction",0.000561247199239046
"surfaceWaterInf",0.000929378841963225
"snowCoverSWE",0.00122104436595502
"directRunoff",0.000245834185085809
"snowFreeWater",0.00399595756661362
"industryWaterWithdrawal",0.000158749722773855
"interflowTotal",0.000508667132805433
"totalGroundwaterAbstraction",0.00044865808949876
"domesticWaterWithdrawal",0.000130482641099417
"surfaceWaterAbstraction",0.000142387057908625
"storUppTotal",0.00018006530570573
"totalEvaporation",0.000888176772113792
"livestockWaterWithdrawal",0.000182389366129359
"fossilGroundwaterAbstraction",0.00105171586972986
"storGroundwater",0.00020752709671742
"gwRecharge",0.00081256288613262
"baseflow",0.000192545974719311
"irrigationWaterWithdrawal",0.000962943603660299
"surfaceWaterStorage",0.000240228541455382
"storLowTotal",0.000416452805625552
"nonIrrWaterConsumption",0.000111423016865022
