"names","importance"
"pcr",0.000724181116722842
"precipitation",0.000124610324366661
"temperature",0.000367399831754818
"referencePotET",0.000391633405300883
"desalinationAbstraction",1.17730148338679e-05
"surfaceWaterInf",2.23491489009741e-05
"snowCoverSWE",0.000201577710923111
"directRunoff",0.000163856448016824
"snowFreeWater",0.00011594729535051
"industryWaterWithdrawal",6.70263849206607e-05
"interflowTotal",0.000212640526620512
"totalGroundwaterAbstraction",9.40796844803378e-05
"domesticWaterWithdrawal",8.4733832375468e-05
"surfaceWaterAbstraction",7.5392447009034e-05
"storUppTotal",0.000128495395237844
"totalEvaporation",0.000374001679852741
"livestockWaterWithdrawal",0.00010590912365516
"fossilGroundwaterAbstraction",4.31601687571958e-05
"storGroundwater",0.000114802096469694
"gwRecharge",0.000514299061547948
"baseflow",0.000150603770688519
"irrigationWaterWithdrawal",5.83684104694334e-05
"surfaceWaterStorage",0.000215772117522271
"storLowTotal",0.000555521192238007
"nonIrrWaterConsumption",6.65225548220853e-05
"airEntry1",0.00174317172310236
"airEntry2",0.000281177457786018
"aqThick",9.93959877232513e-05
"area_pcr",9.20038134875435e-05
"aridityIdx",0.000948639980989343
"bankArea",0.000258429923047298
"bankDepth",0.000276192723252133
"bankWidth",0.000540494142142689
"demAverage",0.000107809553553065
"forestFraction",7.37446392977411e-05
"groundwaterDepth",0.00130444032020794
"KSat1",0.000204241389550303
"KSat2",0.000175399942602179
"kSatAquifer",0.000120240602631156
"percolationImp",0.000262391244612497
"poreSize1",7.54363006603588e-05
"poreSize2",0.000470481044352409
"recessionCoeff",0.000172776098399164
"resWC1",0.00012158524850334
"resWC2",6.86183495809541e-05
"satWC1",0.00128481408309618
"satWC2",0.00072332272212513
"slopeLength",0.000364152336929356
"specificYield",0.000131730893941146
"storage2",7.68146548814379e-05
"storDepth1",9.56147153894113e-05
"tanSlope",0.000902188886316064
