"grdc_no","KGE","KGE_corrected","KGE_r","KGE_r_corrected","KGE_alpha","KGE_alpha_corrected","KGE_beta","KGE_beta_corrected","NSE","NSE_corrected","RMSE","RMSE_corrected","MAE","MAE_corrected","nRMSE","nRMSE_corrected","nMAE","nMAE_corrected"
1269600,-185.572508212612,-1.40968933429635,0.674211745827658,0.469219608796693,58.3461738817381,0.712570492433978,178.540448979617,3.33286500730668,-17236.694411948,-2.24090253482838,0.0158069391826402,0.000216741052972801,0.0142000159600998,0.000196825019649862,197.631544032414,2.70987750754863,177.540448979617,2.46087063967025
1287800,-9.49356741310761,0.351639428071095,0.882121295864971,0.903156263758705,8.30477218122977,1.20701630045577,11.2381861276017,2.00613543477405,-54.9840046721471,0.716115577733293,0.000577369797156514,4.11142963553778e-05,0.000332881734485467,3.41311867285014e-05,NA,NA,NA,NA
1396101,-14.6437351885079,0.432882717215344,0.719488769716724,0.617261048595478,11.5678534468291,1.1218121331935,21.8511283046482,1.65949143556681,-58.1755596416469,0.379715917607089,0.000390847650223379,4.00158122426609e-05,0.000231274817738842,1.42640388414807e-05,NA,NA,NA,NA
1426200,-0.31027151091432,0.476594587547309,0.367075144652867,0.579976437741695,0.228603351251564,0.697897542148628,0.150785792572223,1.07916778317457,-0.786223839801388,0.314629925060174,0.00021218677893629,0.000131435580766008,0.000151735462184838,6.64339954353494e-05,1.1951753468573,0.740331544778154,0.854673814063449,0.37419990979457
1426260,-5.92510274934212,0.475077700218637,0.668741839371371,0.904817286953344,2.80151542442914,0.401942408693822,7.52428182174647,0.98539440281217,-15.2235699576356,0.646295821757098,0.00129896197053273,0.000191797666315302,0.00109743308737864,0.000120868693845049,NA,NA,NA,NA
1426350,-7.45535732317846,-0.0640380776990475,0.706448550434769,0.8993019612472,4.20184417257484,1.14623122157888,8.85297264825249,1.87279649016661,-37.9942362172111,0.150522544350574,0.000810300530768776,0.000119597428834002,0.000654928101818182,8.39527031042985e-05,NA,NA,NA,NA
1427500,-1.72178017498026,0.318228871391249,0.188879203097425,0.466138977156696,2.34325363291325,0.714594274298655,3.11771533730851,1.34295053124582,-14.1196725246891,-0.0780731036370945,0.00124759155802368,0.000333138894710467,0.000989943906359447,0.0002463327724408,NA,NA,NA,NA
1428500,-0.280994442743305,0.147060742162659,0.613022242846659,0.608980475026777,0.087186143295289,0.215683705896455,0.134693710605541,0.647100750338688,-0.128412345063552,0.240875842626758,0.00032555872537473,0.000267024943046423,0.00015818396712629,0.00016468465444484,NA,NA,NA,NA
1491210,-5.63101097021218,-0.225475949601482,0.678167149283623,0.71490509530295,3.32634982161613,1.27036087723466,10.9029399545406,3.42144408232482,-3.48101434261124,0.458374952127139,0.00023140266044276,8.04506488212018e-05,0.000103879245945164,2.83964086216938e-05,NA,NA,NA,NA
1531700,-2.77792589245167,-0.0895220041105629,0.204523398182759,0.143903445092814,5.23842184247235,1.03122263821923,2.2843636884831,0.434082259928131,-26.6416020725366,-3.28697925822279,0.000360717467181171,0.000142056548544504,0.000236257074854098,0.000122965883956975,NA,NA,NA,NA
1537500,-27.3178783202747,-0.331673670956832,0.569506960329387,0.878724652406677,20.0327352175278,1.92713141096728,36.1867828659832,3.52809780544033,-440.82644567882,0.000596053014021658,0.00119582641511394,5.68738749902379e-05,0.000889716436787565,4.73942775582316e-05,NA,NA,NA,NA
1673100,-11.6576197590355,-1.84673147167154,-0.432584231592096,-0.33735520932437,11.0617309787064,3.86836260594996,7.63047473553912,2.26586722068757,-853.503241690573,-34.1141362698352,0.000340945995422957,6.91145892911422e-05,0.000309867555223102,5.41027659365667e-05,NA,NA,NA,NA
1749050,0.205048263480339,0.581953289471124,0.633948170486752,0.718354022141793,1.78498815452068,1.20690100752984,1.67451766914281,0.754901945161506,-2.61064488350993,-0.184967932779287,0.000417913805711797,0.00023941294497197,0.000367697392530572,0.000186137042788159,NA,NA,NA,NA
1837106,-14.7574628407423,0.280845003905483,0.299539770502393,0.310991013609985,9.51702522246921,0.774989206069629,3.25316147579253,0.306371619427067,-482.795695232177,-0.672992524099787,0.00140322913674731,8.25172211248835e-05,0.00110775465368807,6.17253231869156e-05,NA,NA,NA,NA
1837200,-0.390873820496558,-1.25099554796684,0.0252548399868232,0.279605934439997,0.36347295834229,2.29346367534873,0.190595559273895,1.17770819055364,-1.56687974768392,-9.21293781110548,8.25239791550661e-05,0.000164608683919707,6.59496068042544e-05,0.000103136152696529,NA,NA,NA,NA
1992710,-0.435436560124934,-0.380437643549812,-0.0536871765086431,-0.000705303826797775,0.663048503663358,1.77670216934699,0.0852950523141112,0.451428470704182,-29.2678946982664,-13.5022372245261,0.0003851582623767,0.000266603357234155,0.000375422593866825,0.000239590937584845,0.938425587574098,0.649570414555967,0.914704947685889,0.583755532058628
2178300,-6.78480455926643,-0.659555594087652,0.0960971423604015,0.182455585349149,6.53639110902326,1.49526199342831,4.83990359598455,2.27781659351703,-69.4132470280628,-3.47126043610025,0.000325188279837156,8.19450420153994e-05,0.00017395520342246,5.6661924997854e-05,NA,NA,NA,NA
2311307,-26.3830473650173,-0.677395806383994,0.481461044394196,0.678863377810928,10.7503692270266,1.47941691841348,28.5187801265371,3.81508582583346,-134.445730692228,0.136666940672498,0.000377388113823573,3.01296955356471e-05,0.000220938224299065,1.71536869072903e-05,NA,NA,NA,NA
2517820,-9.95587088659953,-0.380686493559163,-0.288489137271255,0.16108378107813,13.2790011309913,2.70959534635717,1.29294352685642,1.48594610893819,-151.337989955846,-11.5691309709334,0.000457638740052572,0.000131453240523733,0.000321053851154833,0.000108068114110915,NA,NA,NA,NA
2517830,-0.00221463184090576,-0.0612327025138826,0.308195784457325,0.671716836306818,0.526341668391124,0.475199361403414,0.450919968919938,1.86199147504435,-0.214422687917299,-0.232678914173653,0.000149088150489935,0.000150204579784238,9.16122122448833e-05,0.000140058977319116,1.18254975621724,1.19140514268137,0.726657342657307,1.1109314116546
2853050,-6.04056736988608,0.361827139848164,0.571896941230567,0.585482208096298,9.92745825196766,1.1967974792789,3.34234839668193,0.585595623865075,-57.9034281076504,-0.310298510497728,0.000597683748352839,8.91428028731024e-05,0.000297225451737451,6.44730165001972e-05,NA,NA,NA,NA
2856600,-85.7980103602337,-1.94013873523688,0.438257914694112,0.329335847923078,44.6561667638397,1.03356070041668,69.2597940949936,3.73434951992508,-5553.51982068206,-5.28012214038863,0.00972031592835892,0.000326844487974784,0.0074929239,0.000318156679525033,NA,NA,NA,NA
2903461,-36.4461929820546,-0.110495122573274,0.697940033241949,0.667118899478389,19.1311496375618,0.285363357615644,34.9960512255316,1.86583845650641,-597.073756349251,0.160495558144548,0.0194577339380843,0.000728998083984675,0.0125705635045025,0.00062299882114961,NA,NA,NA,NA
2903470,-149.510220624506,-3.42723191159576,0.558757400074532,0.569852737289,63.8300708433886,0.808657661429295,138.014010025292,5.62686130586516,-7613.17184224935,-3.553199406869,0.0272008001377489,0.000665163910217203,0.0189946639771167,0.000634810922635039,NA,NA,NA,NA
2903640,-0.388412366714264,0.0403101083201836,0.914094998548305,0.751264297768191,0.0299025182439163,0.138126742171975,0.0238357620295464,0.801478205991532,-0.183441047458731,0.132120998570943,0.000779686053671706,0.000667691799023848,0.000340449320245399,0.000362332243872697,NA,NA,NA,NA
