"datetime","obs","pcr","pcr_corrected","res","res_corrected"
"1979-01-01",6.40376470588235e-05,9.86179764705882e-05,5.81365887874821e-05,-3.45803294117647e-05,5.90105827134143e-06
"1979-02-01",4.13364705882353e-05,8.77891764705882e-05,5.65390995098405e-05,-4.64527058823529e-05,-1.52026289216052e-05
"1979-03-01",3.18494117647059e-05,3.92865882352941e-05,3.0860315952253e-05,-7.4371764705882e-06,9.89095812452949e-07
"1979-04-01",2.94776470588235e-05,4.51821176470588e-05,2.37101098879113e-05,-1.57044705882353e-05,5.76753717091222e-06
"1979-05-01",2.94776470588235e-05,3.38349176470588e-05,1.51312408747411e-05,-4.3572705882353e-06,1.43464061840824e-05
"1979-06-01",2.67670588235294e-05,3.14462117647059e-05,1.38698758173828e-05,-4.6791529411765e-06,1.28971830061466e-05
"1979-07-01",2.40530823529412e-05,2.94979764705882e-05,1.20161611314046e-05,-5.444894117647e-06,1.20369212215366e-05
"1979-08-01",2.50729411764706e-05,2.48662588235294e-05,1.28930531557708e-05,2.06682352941201e-07,1.21798880206998e-05
"1979-09-01",2.64282352941176e-05,2.29112470588235e-05,1.36011687638699e-05,3.5169882352941e-06,1.28270665302477e-05
"1979-10-01",2.47341176470588e-05,2.13662117647059e-05,1.23509082071172e-05,3.3679058823529e-06,1.23832094399416e-05
"1979-11-01",2.03294117647059e-05,1.90215529411765e-05,1.32625456097676e-05,1.3078588235294e-06,7.06686615493834e-06
"1979-12-01",2.16847058823529e-05,1.88453647058824e-05,1.28620787408125e-05,2.8393411764705e-06,8.82262714154037e-06
"1980-01-01",2.43952941176471e-05,2.47917176470588e-05,1.64892362314477e-05,-3.96423529411701e-07,7.90605788619943e-06
"1980-02-01",2.71058823529412e-05,1.76256e-05,1.38536333785756e-05,9.4802823529412e-06,1.32522489743656e-05
"1980-03-01",2.23623529411765e-05,2.65129411764706e-05,1.57476528691039e-05,-4.1505882352941e-06,6.61470007207258e-06
"1980-04-01",2.304e-05,0.000143566305882353,4.68528028336629e-05,-0.000120526305882353,-2.38128028336629e-05
"1980-05-01",2.64282352941176e-05,8.90428235294118e-05,3.68557422925558e-05,-6.26145882352942e-05,-1.04275069984382e-05
"1980-06-01",2.50729411764706e-05,3.72096e-05,1.72698786757432e-05,-1.21366588235294e-05,7.80306250072737e-06
"1980-07-01",2.06648470588235e-05,1.95907764705882e-05,1.38882634852092e-05,1.0740705882353e-06,6.77658357361427e-06
"1980-08-01",1.99905882352941e-05,2.33991529411765e-05,1.54994003174428e-05,-3.4085647058824e-06,4.49118791785134e-06
"1980-09-01",2.77835294117647e-05,2.29959529411765e-05,1.60936057131581e-05,4.7875764705882e-06,1.16899236986066e-05
