"datetime","obs","pcr","pcr_corrected","res","res_corrected"
"1979-01-01",2.33104502266241e-05,6.82863132449219e-05,1.15387325188934e-05,-4.49758630182978e-05,1.17717177077307e-05
"1979-02-01",7.461409434279e-06,5.50149135470875e-05,7.23416335259839e-06,-4.75535041128085e-05,2.27246081680608e-07
"1979-03-01",4.41471076044989e-06,0.00012561373577304,5.38268847388971e-06,-0.00012119902501259,-9.67977713439819e-07
"1979-04-01",4.37845089810307e-06,7.11798502601981e-05,4.1978186576483e-06,-6.6801399362095e-05,1.8063224045477e-07
"1979-05-01",4.77092764814504e-06,0.000140944695652174,6.56648832423209e-06,-0.000136173768004029,-1.79556067608705e-06
"1979-06-01",4.37787074030552e-06,0.000111662391136478,5.0284408240888e-06,-0.000107284520396172,-6.50570083783285e-07
"1979-07-01",6.31153667953668e-06,0.000113238969951318,5.99643387373063e-06,-0.000106927433271781,3.15102805806049e-07
"1979-08-01",2.63768742655699e-06,7.04836609031392e-05,3.66909867279682e-06,-6.78459734765822e-05,-1.03141124623983e-06
"1979-09-01",4.59891086117173e-06,0.000126551560852778,4.4448076053295e-06,-0.000121952649991606,1.54103255842232e-07
"1979-10-01",5.04969346986738e-06,0.000139942763135807,6.1063801301471e-06,-0.00013489306966594,-1.05668666027972e-06
"1979-11-01",1.18337686755078e-05,0.000192056887695149,7.51775917832413e-06,-0.000180223119019641,4.31600949718367e-06
"1979-12-01",9.38869363773712e-06,9.97459499748196e-05,7.5139770239506e-06,-9.03572563370825e-05,1.87471661378652e-06
"1980-01-01",2.85292596944771e-06,8.25074312573443e-05,4.22935932360086e-06,-7.96545052878966e-05,-1.37643335415315e-06
"1980-02-01",2.75023803928152e-06,0.000108194497901628,3.78721130877799e-06,-0.000105444259862346,-1.03697326949647e-06
"1980-03-01",2.32556253147558e-06,5.30003155950982e-05,3.89147670786158e-06,-5.06747530636226e-05,-1.565914176386e-06
"1980-04-01",2.02359039785127e-06,3.36970152761457e-05,4.48372566257993e-06,-3.16734248782944e-05,-2.46013526472866e-06
"1980-05-01",2.52426657713614e-06,4.07198254154776e-05,3.52022161282266e-06,-3.81955588383415e-05,-9.95955035686524e-07
"1980-06-01",5.69627933523586e-06,0.000109228049017962,5.2453049077966e-06,-0.000103531769682726,4.50974427439261e-07
"1980-07-01",2.70904683565553e-06,0.000106224862178949,4.73916443843774e-06,-0.000103515815343293,-2.03011760278221e-06
"1980-08-01",1.89914655027699e-06,6.37222118516032e-05,3.28817188475246e-06,-6.18230653013262e-05,-1.38902533447547e-06
"1980-09-01",7.80892395501091e-07,4.98648527782441e-05,3.64873412096206e-06,-4.9083960382743e-05,-2.86784172546097e-06
"1980-10-01",5.54050696659392e-07,4.11494322645627e-05,3.39966206632158e-06,-4.05953815679033e-05,-2.84561136966219e-06
"1980-11-01",2.12134698673829e-06,9.39725096525096e-05,3.73141470513015e-06,-9.18511626657713e-05,-1.61006771839186e-06
"1980-12-01",3.74926976666107e-06,0.000168353380560685,5.51859451731895e-06,-0.000164604110794024,-1.76932475065788e-06
"1981-01-01",2.38125768004029e-06,9.23854879973141e-05,4.17510417043941e-06,-9.00042303172738e-05,-1.79384649039912e-06
"1981-02-01",5.63275205640423e-06,0.00017190278596609,6.9949015009886e-06,-0.000166270033909686,-1.36214944458437e-06
"1981-03-01",3.93724089306698e-06,7.708063521907e-05,6.23759835630079e-06,-7.3143394326003e-05,-2.30035746323381e-06
"1981-04-01",2.23041665267752e-06,0.000113560957528958,4.99456825147098e-06,-0.00011133054087628,-2.76415159879346e-06
"1981-05-01",1.1637965418835e-06,6.1165746516703e-05,4.05577574142281e-06,-6.00019499748195e-05,-2.89197919953931e-06
"1981-06-01",1.38808554641598e-05,0.000405361474567735,2.23342494063811e-05,-0.000391480619103575,-8.45339394222126e-06
"1981-07-01",1.69971730736948e-05,0.000318461378546248,2.99747330115228e-05,-0.000301464205472553,-1.2977559937828e-05
"1981-08-01",3.02183891220413e-05,0.000277777812993117,2.83238959599639e-05,-0.000247559423871076,1.89449316207745e-06
"1981-09-01",4.74017928487494e-06,0.000119817959375525,8.04689079302368e-06,-0.00011507778009065,-3.30671150814874e-06
"1981-10-01",1.84113077052207e-06,0.000179532441161659,7.82899244925714e-06,-0.000177691310391137,-5.98786167873507e-06
"1981-11-01",3.47804599630687e-06,0.000303903478932348,9.61947607840872e-06,-0.000300425432936041,-6.14143008210185e-06
"1981-12-01",2.02068960886352e-06,0.000139051640758771,6.80686078651601e-06,-0.000137030951149907,-4.78617117765249e-06
"1982-01-01",7.830679872419e-06,0.000282865216719825,1.24389711682743e-05,-0.000275034536847406,-4.60829129585533e-06
"1982-02-01",9.70516971630015e-06,0.000115462134631526,7.84679172330177e-06,-0.000105756964915226,1.85837799299838e-06
"1982-03-01",2.82261272452577e-05,0.000679926373678026,4.76793112371534e-05,-0.000651700246432768,-1.94531839918957e-05
"1982-04-01",4.15755581668625e-05,0.000194903141849925,2.91856485742472e-05,-0.000153327583683062,1.23899095926153e-05
"1982-05-01",2.74733725029377e-06,0.000101224482121873,4.53784486232952e-06,-9.84771448715792e-05,-1.79050761203575e-06
"1982-06-01",1.87332952828605e-06,0.000100482170219909,4.47377772892643e-06,-9.8608840691623e-05,-2.60044820064038e-06
"1982-07-01",1.38744737283868e-06,6.50110323988585e-05,2.84115834167631e-06,-6.36235850260198e-05,-1.45371096883763e-06
"1982-08-01",8.18022494544234e-07,5.13863166023166e-05,3.05921590092312e-06,-5.05682941077724e-05,-2.24119340637889e-06
"1982-09-01",4.21484639919423e-07,4.32638173577304e-05,1.9217051203024e-06,-4.2842332717811e-05,-1.50022048038298e-06
"1982-10-01",4.15683061943932e-07,9.92400523753567e-05,2.58802497105812e-06,-9.88243693134128e-05,-2.17234190911419e-06
"1982-11-01",3.03712607016955e-07,5.10918865200604e-05,2.19500687010736e-06,-5.07881739130434e-05,-1.8912942630904e-06
"1982-12-01",9.13748531139835e-08,7.58715863689777e-05,2.96064975530195e-06,-7.57802115158637e-05,-2.86927490218796e-06
"1983-01-01",5.34905489340272e-06,0.000165810258855128,6.29534007600314e-06,-0.000160461203961725,-9.46285182600421e-07
