"datetime","obs","pcr","pcr_corrected","res","res_corrected"
"1979-01-01",8.26130915001057e-07,1.12821561917639e-05,3.57987074547026e-05,-1.04560252767628e-05,-3.49725765397016e-05
"1979-02-01",5.64676753420358e-07,1.02428854583488e-05,3.76777155833055e-05,-9.67820870492844e-06,-3.71130388298851e-05
"1979-03-01",5.52670815026626e-06,4.8711074430233e-05,0.00010282599047918,-4.31843662799667e-05,-9.72992823289137e-05
"1979-04-01",2.93464389428006e-05,2.75918793803956e-05,0.000146229652653267,1.754559562405e-06,-0.000116883213710467
"1979-05-01",8.40698324174639e-05,4.5731705229147e-05,7.43113995203567e-05,3.83381271883169e-05,9.7584328971072e-06
"1979-06-01",6.12993992286772e-05,4.82047144196092e-05,7.36038820673446e-05,1.3094684809068e-05,-1.23044828386674e-05
"1979-07-01",4.15016384254038e-05,5.81422666880313e-05,7.82592954916258e-05,-1.66406282626275e-05,-3.67576570662221e-05
"1979-08-01",2.33380148185115e-05,3.36094086452245e-05,7.24023591512645e-05,-1.0271393826713e-05,-4.9064344332753e-05
"1979-09-01",1.11539541815835e-05,2.30289498464598e-05,5.33089206664018e-05,-1.18749956648763e-05,-4.21549664848183e-05
"1979-10-01",6.6884547494865e-06,3.8428362903633e-05,5.71521933767567e-05,-3.17399081541465e-05,-5.04637386272702e-05
"1979-11-01",1.32538626501105e-05,2.37078894861726e-05,4.82885354854531e-05,-1.04540268360621e-05,-3.50346728353426e-05
"1979-12-01",1.03889143752703e-05,1.91753036232854e-05,4.91019741999789e-05,-8.7863892480151e-06,-3.87130598247086e-05
"1980-01-01",3.87340631540965e-06,1.82536146151837e-05,3.80035280622226e-05,-1.43802082997741e-05,-3.4130121746813e-05
"1980-02-01",1.28528989394293e-06,1.53576905094813e-05,3.59395572648228e-05,-1.40724006155384e-05,-3.46542673708798e-05
"1980-03-01",1.77742947307766e-06,1.76846707830221e-05,4.182426062091e-05,-1.59072413099444e-05,-4.00468311478323e-05
"1980-04-01",1.1742684615908e-05,1.84868815863699e-05,5.75108157377016e-05,-6.7441969704619e-06,-4.57681311217936e-05
"1980-05-01",4.90239935379219e-06,1.55511314124162e-05,3.7448470900843e-05,-1.0648732058624e-05,-3.25460715470508e-05
"1980-06-01",3.05213079562142e-06,3.65755024902268e-05,6.20951289525612e-05,-3.35233716946054e-05,-5.90429981569397e-05
"1980-07-01",8.41792164574536e-07,1.91411669933557e-05,4.36663222142664e-05,-1.82993748287812e-05,-4.28245300496918e-05
