"datetime","obs","pcr","pcr_corrected","res","res_corrected"
"1979-01-01",3.04894226327945e-05,2.69625866050808e-05,2.40934717619114e-05,3.5268360277137e-06,6.3959508708831e-06
"1979-02-01",1.50651270207852e-05,4.19030023094688e-06,1.51174064917837e-05,1.08748267898383e-05,-5.22794709985305e-08
"1979-03-01",2.7855519630485e-05,6.40966281755196e-05,2.65020713032519e-05,-3.62411085450346e-05,1.35344832723307e-06
"1979-04-01",1.39626789838337e-05,4.16086836027714e-05,1.48524632016742e-05,-2.76460046189377e-05,-8.89784217840458e-07
"1979-05-01",0.000366905681293303,0.000355566928406467,0.00016359558345327,1.1338752886836e-05,0.000203310097840033
"1979-06-01",0.000106229099307159,0.00018873311778291,6.85571723067912e-05,-8.2504018475751e-05,3.76719270003678e-05
"1979-07-01",4.61332101616628e-05,6.71146420323326e-05,3.63873059057644e-05,-2.09814318706698e-05,9.74590425589841e-06
"1979-08-01",2.46479445727483e-05,3.08186605080831e-05,2.90036000375332e-05,-6.1707159353348e-06,-4.35565546478495e-06
"1979-09-01",5.48779676674365e-05,0.000123728591224018,4.85380902478673e-05,-6.88506235565815e-05,6.3398774195692e-06
"1979-10-01",1.4626143187067e-05,5.54067436489607e-05,1.82233208514279e-05,-4.07806004618937e-05,-3.59717766436091e-06
"1979-11-01",1.09047575057737e-05,6.97086374133949e-05,1.63946515917372e-05,-5.88038799076212e-05,-5.48989408596353e-06
"1979-12-01",7.88674364896074e-06,2.86237413394919e-05,1.65423134212302e-05,-2.07369976905312e-05,-8.65556977226941e-06
"1980-01-01",1.04557967667437e-05,6.07892840646651e-05,1.51117004660558e-05,-5.03334872979214e-05,-4.65590369931213e-06
"1980-02-01",1.42520092378753e-05,1.60229099307159e-05,1.52363686911911e-05,-1.7709006928406e-06,-9.84359453315829e-07
"1980-03-01",1.03560277136259e-05,1.33141801385681e-05,1.36531842057385e-05,-2.9581524249422e-06,-3.29715649211256e-06
"1980-04-01",5.89136258660508e-06,2.42937644341801e-06,1.21969668265842e-05,3.46198614318707e-06,-6.3056042399791e-06
"1980-05-01",8.43048498845266e-06,1.38629099307159e-05,1.71092410692834e-05,-5.43242494226324e-06,-8.67875608083078e-06
"1980-06-01",7.34799076212471e-06,5.33016166281755e-05,1.77492678750012e-05,-4.59536258660508e-05,-1.04012771128765e-05
"1980-07-01",4.42974595842956e-06,6.64511778290993e-05,2.17656160790491e-05,-6.20214318706697e-05,-1.73358701206195e-05
"1980-08-01",4.42974595842956e-06,1.87017090069284e-05,1.87841773648275e-05,-1.42719630484988e-05,-1.4354431406398e-05
"1980-09-01",2.63889145496536e-06,1.7414688221709e-05,1.05803514526524e-05,-1.47757967667436e-05,-7.94145999768708e-06
"1980-10-01",6.73441108545035e-06,1.80182909930716e-05,1.19999270482543e-05,-1.12838799076213e-05,-5.26551596280394e-06
"1980-11-01",1.63122401847575e-06,2.80400923787529e-05,7.44725591816009e-06,-2.64088683602771e-05,-5.81603189968434e-06
"1980-12-01",9.62272517321016e-06,2.70324249422633e-05,9.36983821867372e-06,-1.74096997690531e-05,2.52886954536442e-07
"1981-01-01",6.73441108545035e-06,2.40642956120092e-05,1.06704920099709e-05,-1.73298845265589e-05,-3.93608092452053e-06
"1981-02-01",0.000163406743648961,0.000285404341801386,0.000141993799752774,-0.000121997598152425,2.14129438961867e-05
"1981-03-01",1.2421247113164e-05,3.80469284064665e-05,1.35014944107013e-05,-2.56256812933025e-05,-1.08024729753732e-06
"1981-04-01",1.7908545034642e-05,3.00205080831409e-05,2.27566665315974e-05,-1.21119630484989e-05,-4.84812149695542e-06
"1981-05-01",0.000174032147806005,9.87563972286374e-05,2.8578962866248e-05,7.52757505773676e-05,0.000145453184939757
"1981-06-01",5.69581524249423e-05,0.000263829284064665,8.6312828827299e-05,-0.000206871131639723,-2.93546764023567e-05
"1981-07-01",2.96713163972286e-05,0.00015793441108545,5.58690158233162e-05,-0.000128263094688221,-2.61976994260876e-05
"1981-08-01",2.58551501154734e-05,8.53324711316397e-05,3.78013889014287e-05,-5.94773210161663e-05,-1.19462387859553e-05
"1981-09-01",3.47196304849885e-06,1.46460969976905e-05,1.09992431043089e-05,-1.11741339491917e-05,-7.52728005581005e-06
"1981-10-01",2.3221247113164e-05,0.000217556397228637,4.7237129024607e-05,-0.000194335150115473,-2.4015881911443e-05
"1981-11-01",0.000182472609699769,0.000302883879907621,0.000172776595299647,-0.000120411270207852,9.69601440012222e-06
"1981-12-01",2.1106143187067e-05,5.9941247113164e-05,1.8383426314203e-05,-3.8835103926097e-05,2.72271687286405e-06
"1982-01-01",1.74695612009238e-05,8.2708545034642e-05,2.03268208493153e-05,-6.52389838337182e-05,-2.85725964839147e-06
"1982-02-01",1.56537644341801e-05,4.77793995381062e-05,1.30921326041353e-05,-3.21256351039261e-05,2.56163183004477e-06
"1982-03-01",0.000448651454965358,0.000746247575057737,0.000480912559555334,-0.000297596120092379,-3.22611045899764e-05
"1982-04-01",5.0084064665127e-05,8.45393071593533e-05,4.30879338646171e-05,-3.44552424942263e-05,6.99613080050985e-06
"1982-05-01",1.2106974595843e-05,9.2386143187067e-06,1.19070839356231e-05,2.8683602771363e-06,1.99890660219872e-07
"1982-06-01",1.035103926097e-05,3.37219399538106e-05,1.05120942051435e-05,-2.33709006928406e-05,-1.61054944173486e-07
"1982-07-01",7.84683602771363e-06,1.26956120092379e-05,9.64223108133591e-06,-4.84877598152427e-06,-1.79539505362228e-06
