"datetime","obs","pcr","pcr_corrected","res","res_corrected"
"1979-01-01",6.65720003779322e-06,1.63986566228323e-05,6.53576308298586e-06,-9.74145658503908e-06,1.21436954807356e-07
"1979-02-01",2.2648432010857e-05,3.8265634797248e-05,0.000113374097792411,-1.5617202786391e-05,-9.0725665781554e-05
"1979-03-01",1.20383223246266e-05,0.000111069599649554,9.99663229071825e-05,-9.90312773249274e-05,-8.7928000582556e-05
"1979-04-01",1.67374350429039e-05,4.79714695549848e-05,1.08945375658505e-05,-3.12340345120809e-05,5.84289747705339e-06
"1979-05-01",1.02650232342407e-05,2.14599245853483e-05,6.99723714813716e-06,-1.11949013511076e-05,3.26778608610355e-06
"1979-06-01",1.06494421205432e-06,1.44810149197324e-05,3.99846455499691e-06,-1.34160707076781e-05,-2.93352034294259e-06
"1979-07-01",1.6957474038635e-07,1.80610085636e-05,3.87046030398687e-06,-1.78914338232136e-05,-3.70088556360053e-06
"1979-08-01",7.42121402128446e-09,1.21169871932522e-05,4.17894822128899e-06,-1.21095659792309e-05,-4.1715270072677e-06
"1979-09-01",0,8.17706466935228e-06,4.27126241996996e-06,-8.17706466935228e-06,-4.27126241996996e-06
"1979-10-01",0,8.40934866821848e-06,4.67822012849374e-06,-8.40934866821848e-06,-4.67822012849374e-06
"1979-11-01",0,1.09021344579679e-05,5.09318562797475e-06,-1.09021344579679e-05,-5.09318562797475e-06
"1979-12-01",0,1.32442696030853e-05,5.14443013873103e-06,-1.32442696030853e-05,-5.14443013873103e-06
"1980-01-01",0,7.11304810905062e-05,3.10370622080307e-05,-7.11304810905062e-05,-3.10370622080307e-05
"1980-02-01",1.89315169682966e-06,7.02269482834148e-05,2.2554757607195e-05,-6.83337965865851e-05,-2.06616059103653e-05
"1980-03-01",4.71840787473266e-06,0.000105368251977702,1.78192824443576e-05,-0.000100649844102969,-1.31008745696249e-05
"1980-04-01",6.66350806971131e-06,3.36273760339452e-05,4.43277130581505e-06,-2.69638679642339e-05,2.23073676389626e-06
"1980-05-01",2.61115415338894e-06,1.20958367332915e-05,3.94832333700426e-06,-9.48468257990256e-06,-1.33716918361532e-06
"1980-06-01",3.82192522096149e-08,1.77712101560688e-05,4.20626860959066e-06,-1.77329909038592e-05,-4.16804935738104e-06
"1980-07-01",0,1.29515027099456e-05,3.8487723238455e-06,-1.29515027099456e-05,-3.8487723238455e-06
"1980-08-01",0,9.39748331515251e-06,3.99986892581399e-06,-9.39748331515251e-06,-3.99986892581399e-06
"1980-09-01",0,1.27663434201146e-05,4.31565788873721e-06,-1.27663434201146e-05,-4.31565788873721e-06
