"names","importance"
"precipitation",0.00103291012858383
"temperature",0.00160207812137055
"referencePotET",0.00178855963803021
"airEntry1",0.00370133621701653
"airEntry2",0.000176089114834214
"aqThick",5.705637730637e-05
"area_pcr",7.71398330325022e-05
"aridityIdx",0.000798305928060353
"bankArea",0.00014431310551691
"bankDepth",0.000163478092446657
"bankWidth",0.000655474341864438
"demAverage",6.89153576359719e-05
"forestFraction",0.0001206015473811
"groundwaterDepth",0.000322733269273734
"KSat1",8.02230954757678e-05
"KSat2",7.27403854280032e-05
"kSatAquifer",0.000114397829430163
"percolationImp",9.37048161554606e-05
"poreSize1",5.34929320801678e-05
"poreSize2",9.06750494665192e-05
"recessionCoeff",0.000111827317912208
"resWC1",8.82336745054475e-05
"resWC2",6.70930733238822e-05
"satWC1",0.00179001090906952
"satWC2",0.000228318134250561
"slopeLength",0.000543265009699863
"specificYield",9.31617231102365e-05
"storage2",6.05930667089019e-05
"storDepth1",0.00011559823675116
"tanSlope",0.00024808937470381
