"grdc_no","KGE","KGE_corrected","KGE_r","KGE_r_corrected","KGE_alpha","KGE_alpha_corrected","KGE_beta","KGE_beta_corrected","NSE","NSE_corrected","RMSE","RMSE_corrected","MAE","MAE_corrected","nRMSE","nRMSE_corrected","nMAE","nMAE_corrected"
1112110,-168.124881827023,-5.61071930884115,0.633874625350946,0.588444896434404,95.2293753827848,2.16662881019625,167.562666720047,7.80741286452312,-10677.9164986294,-10.5692370071614,0.00434857298033287,0.000143131600234163,0.00284589671862857,0.000123214561582385,NA,NA,NA,NA
1112340,-5.39255320721711,-0.0814714497279516,0.97112341977493,0.896909630772974,5.29402391609006,0.224317894715335,5.73553178199268,0.253494712751167,-26.3001365403425,0.139455974973439,0.000767855194803467,0.000136327497912718,0.0004298589,7.26147475975986e-05,8.45906105226622,1.50184909309827,4.73553178199268,0.799958882065266
1134310,-43.1907140262069,-1.20413347689341,0.79559903612585,0.563813494626889,19.5700848614638,1.26454625867426,44.8997428936699,3.2272008249213,-805.794108513681,-1.49570153319489,0.0025057280563837,0.000139363453415691,0.00196094486013986,0.000113275065587919,NA,NA,NA,NA
1159500,-374.552833142781,-92.4125007979095,0.146298816634403,0.182242725625551,99.4003344417004,13.0550048188661,340.818918171987,91.9076024008797,-20093.6254986717,-785.499737830383,0.000347960949801679,6.88398381173125e-05,0.000237003003317588,6.07169744633225e-05,NA,NA,NA,NA
1160378,-22.4224760931142,-0.240146508419128,0.45321816439374,0.369073654956361,23.9896657202987,2.08662957516462,20.6173763536339,2.15455075307483,-360.494335742158,-1.44944180391929,0.000178032639471511,1.46548860213569e-05,7.81539293981719e-05,8.04686353170553e-06,NA,NA,NA,NA
1160391,-117.980782486852,-1.82866896202136,0.397180509193092,0.268026677746971,58.0523193194649,1.88554284715278,89.402881330607,3.27159368521867,-4823.772862214,-3.62564929881521,0.00107987716460711,3.34366125404843e-05,0.000563266116151539,1.82880536467202e-05,NA,NA,NA,NA
1201500,-13.4218429502437,0.147053907270903,0.433579139211689,0.347497508819079,11.2255805578562,0.687402866343024,7.34852539454807,1.41348441130114,-301.529799287922,-0.686135239471494,0.0010856352445045,8.10487006758455e-05,0.000802399081119885,5.79436079718516e-05,NA,NA,NA,NA
1258100,-44.1561711602654,-291.196446611261,0.231842782746557,0.17055199579339,35.2158875283723,33.9869323196616,28.2753527427807,291.399901274679,-1382.2607581557,-6939.98204292772,0.000374338180110582,0.000838537630208747,7.31442260984234e-05,0.000766100176628345,NA,NA,NA,NA
1340500,-2.93496742742156,-0.114607194152311,0.635724529348597,0.0866152237880723,3.5025802296401,0.343740421544235,4.16598547352152,0.667300167135666,-38.5460181537056,-0.258185691615298,0.00417574049442024,0.000744825422203259,0.00388576760220994,0.000582887659971436,NA,NA,NA,NA
1426210,-0.259487489447896,0.420072866470492,0.451344116223077,0.513886816171186,0.298199890487233,0.940043180715287,0.109628131868152,1.31050705713852,-2.47834777165922,-0.240865610412749,0.000138553767717587,8.27549944198012e-05,0.000121131986710938,6.02491254280974e-05,1.0184294037363,0.608284574367883,0.890371868131848,0.442856819386098
