"datetime","obs","pcr","pcr_corrected","res","res_corrected"
"1979-01-01",0,2.57705190311419e-05,1.79230245522382e-05,-2.57705190311419e-05,-1.79230245522382e-05
"1979-02-01",0,0.000137896193771626,9.04346738542798e-05,-0.000137896193771626,-9.04346738542798e-05
"1979-03-01",0,0.000527386795847751,0.000130171735567371,-0.000527386795847751,-0.000130171735567371
"1979-04-01",0,6.94757647058824e-05,1.32164548726753e-05,-6.94757647058824e-05,-1.32164548726753e-05
"1979-05-01",0,1.22753771626298e-05,1.02037951191962e-05,-1.22753771626298e-05,-1.02037951191962e-05
"1979-06-01",0,5.78790311418685e-06,1.14174563939784e-05,-5.78790311418685e-06,-1.14174563939784e-05
"1979-07-01",0,3.05240138408304e-06,1.10330379029261e-05,-3.05240138408304e-06,-1.10330379029261e-05
"1979-08-01",0,2.68168858131488e-06,9.10950132479098e-06,-2.68168858131488e-06,-9.10950132479098e-06
"1979-09-01",0,2.61890657439446e-06,8.69438224447997e-06,-2.61890657439446e-06,-8.69438224447997e-06
"1979-10-01",0,2.5680830449827e-06,9.48053391381966e-06,-2.5680830449827e-06,-9.48053391381966e-06
"1979-11-01",0,9.81492041522491e-06,1.00621109012263e-05,-9.81492041522491e-06,-1.00621109012263e-05
"1979-12-01",0,1.10257162629758e-05,9.1264910638392e-06,-1.10257162629758e-05,-9.1264910638392e-06
"1980-01-01",0,8.11382698961938e-06,8.95381748800889e-06,-8.11382698961938e-06,-8.95381748800889e-06
"1980-02-01",0,1.28284567474048e-05,1.50235929316932e-05,-1.28284567474048e-05,-1.50235929316932e-05
"1980-03-01",1.39740596048666e-06,0.000388883709342561,6.561296539031e-05,-0.000387486303382074,-6.42155594298233e-05
"1980-04-01",0,7.02440968858131e-05,1.2886000095839e-05,-7.02440968858131e-05,-1.2886000095839e-05
"1980-05-01",0,1.04307820069204e-05,9.83319219361593e-06,-1.04307820069204e-05,-9.83319219361593e-06
