"datetime","obs","pcr","pcr_corrected","res","res_corrected"
"1979-01-01",0,3.64695507794484e-05,2.95784303517121e-05,-3.64695507794484e-05,-2.95784303517121e-05
"1979-02-01",4.47281578437112e-10,3.44998853558581e-05,2.88592389917299e-05,-3.44994380742797e-05,-2.88587917101514e-05
"1979-03-01",0,5.60876461053935e-05,3.76036532056418e-05,-5.60876461053935e-05,-3.76036532056418e-05
"1979-04-01",1.92032891009001e-08,0.000123287393097632,8.80636164010331e-05,-0.000123268189808531,-8.80444131119322e-05
"1979-05-01",2.38669974924517e-06,0.00069270969731311,0.000179847428904281,-0.000690322997563865,-0.000177460729155036
"1979-06-01",5.36470067336961e-06,0.000565060576910406,0.000109350369219556,-0.000559695876237036,-0.000103985668546186
"1979-07-01",3.00973177011491e-05,0.000187862817083295,5.18196789773655e-05,-0.000157765499382146,-2.17223612762164e-05
"1979-08-01",3.22949104717243e-05,0.000122627042840012,4.37708935401183e-05,-9.03321323682877e-05,-1.1475983068394e-05
"1979-09-01",9.96961903883405e-06,0.000118103643575316,3.48735715059128e-05,-0.000108134024536482,-2.49039524670788e-05
"1979-10-01",1.22991153655031e-06,6.9726155995098e-05,2.87930982790855e-05,-6.84962444585477e-05,-2.75631867425352e-05
"1979-11-01",3.71693702478686e-07,8.29741484048651e-05,3.62812274547225e-05,-8.26024547023864e-05,-3.59095337522438e-05
"1979-12-01",1.22300687312248e-08,0.000105837068272563,4.63083260249815e-05,-0.000105824838203832,-4.62960959562502e-05
"1980-01-01",1.42904496796383e-07,0.00014811997838892,5.40370244751261e-05,-0.000147977073892124,-5.38941199783297e-05
"1980-02-01",1.44476156245016e-08,0.000305380115171241,7.93579990680658e-05,-0.000305365667555616,-7.93435514524413e-05
"1980-03-01",1.95828007432103e-07,0.00039720409556314,0.000110304706239699,-0.000397008267555708,-0.000110108878232267
"1980-04-01",2.23596494788304e-05,0.000679321665107331,0.000327985265062844,-0.000656962015628501,-0.000305625615584014
"1980-05-01",3.06807984877345e-05,0.00170913675333061,0.000356709921749267,-0.00167845595484288,-0.000326029123261532
"1980-06-01",1.81208459947026e-05,0.000772754395350982,0.000196240514664238,-0.000754633549356279,-0.000178119668669535
"1980-07-01",7.50767559746091e-05,0.000231045169791927,7.0904899872874e-05,-0.000155968413817318,4.1718561017351e-06
"1980-08-01",4.48036998984483e-05,0.000175058853295031,5.91876098822189e-05,-0.000130255153396583,-1.43839099837706e-05
"1980-09-01",6.07696812365754e-06,0.000175058853295031,4.71271143907451e-05,-0.000168981885171373,-4.10501462670875e-05
"1980-10-01",1.2501848036363e-07,0.000166641664580231,4.1602624991122e-05,-0.000166516646099867,-4.14776065107583e-05
"1980-11-01",1.66226099331901e-08,0.000170201863296744,3.93203554030612e-05,-0.000170185240686811,-3.9303732793128e-05
"1980-12-01",3.04833544952448e-08,0.000166847739402006,4.00463793300413e-05,-0.000166817256047511,-4.00158959755461e-05
"1981-01-01",6.13339783217577e-09,0.000145832661720716,3.47671747970144e-05,-0.000145826528322884,-3.47610413991822e-05
"1981-02-01",9.23026530047496e-09,0.000129059765177171,2.94139057081881e-05,-0.000129050534911871,-2.94046754428876e-05
