"datetime","obs","pcr","pcr_corrected","res","res_corrected"
"1979-01-01",6.63751182095198e-07,0.00014492667752443,1.30956509763064e-05,-0.000144262926342335,-1.24318997942112e-05
"1979-02-01",9.00586319218241e-07,0.000143818534201954,1.05752844811856e-05,-0.000142917947882736,-9.67469816196734e-06
"1979-03-01",8.23447514973206e-07,6.64323127035831e-05,8.67334515376737e-06,-6.56088651886099e-05,-7.84989763879416e-06
"1979-04-01",6.60488599348534e-07,3.17711726384365e-05,5.8762230017206e-06,-3.1110684039088e-05,-5.21573440237207e-06
"1979-05-01",6.60488599348534e-07,1.92887296416938e-05,5.46741861971578e-06,-1.86282410423453e-05,-4.80693002036725e-06
"1979-06-01",6.60488599348534e-07,7.61980456026059e-06,5.30833686103918e-06,-6.95931596091206e-06,-4.64784826169065e-06
"1979-07-01",6.60488599348534e-07,2.44231270358306e-06,5.01309691376416e-06,-1.78182410423453e-06,-4.35260831441562e-06
"1979-08-01",6.60488599348534e-07,1.7413680781759e-06,4.80123480235229e-06,-1.08087947882737e-06,-4.14074620300375e-06
"1979-09-01",6.60488599348534e-07,4.91013029315961e-06,4.6170209642813e-06,-4.24964169381108e-06,-3.95653236493277e-06
"1979-10-01",6.60488599348534e-07,2.24223127035831e-05,7.10391514715198e-06,-2.17618241042346e-05,-6.44342654780345e-06
"1979-11-01",6.60488599348534e-07,0.000320075765472313,2.84318064795452e-05,-0.000319415276872964,-2.77713178801967e-05
"1979-12-01",2.00499894924871e-05,0.00023099335504886,1.80382564615093e-05,-0.000210943365556373,2.01173303097784e-06
"1980-01-01",1.87111957549648e-05,0.000289865667752443,2.8641949758512e-05,-0.000271154471997478,-9.9307540035472e-06
"1980-02-01",6.20119308098394e-05,0.000481424071661238,4.09504703828881e-05,-0.000419412140851399,2.10614604269513e-05
"1980-03-01",5.31336849847641e-05,0.000273284853420195,3.05313032610802e-05,-0.000220151168435431,2.26023817236839e-05
"1980-04-01",1.08162703583062e-05,7.82437133550489e-05,8.38438084292238e-06,-6.74274429967427e-05,2.43188951538382e-06
"1980-05-01",2.78806136387517e-06,2.22516938110749e-05,6.76878796651703e-06,-1.94636324471997e-05,-3.98072660264186e-06
"1980-06-01",9.88270358306189e-07,7.09827361563518e-06,6.51604091419473e-06,-6.11000325732899e-06,-5.52777055588854e-06
"1980-07-01",1.17906903435956e-06,3.44931596091205e-06,6.38704357654256e-06,-2.27024692655249e-06,-5.207974542183e-06
"1980-08-01",1.05838184301776e-06,2.1371335504886e-06,5.74999288018545e-06,-1.07875170747084e-06,-4.69161103716769e-06
"1980-09-01",1.02734853420195e-06,7.9328990228013e-06,5.08342482956313e-06,-6.90555048859935e-06,-4.05607629536118e-06
"1980-10-01",1.03256488389198e-06,2.69234853420195e-05,6.03213814706363e-06,-2.58909204581275e-05,-4.99957326317165e-06
"1980-11-01",4.27294788273616e-06,0.000177991563517915,2.2276148859427e-05,-0.000173718615635179,-1.80032009766909e-05
"1980-12-01",2.90308868340864e-05,0.00045069332247557,4.41299487097359e-05,-0.000421662435641484,-1.50990618756495e-05
"1981-01-01",3.63088010927813e-05,0.00033672342019544,3.17289678772619e-05,-0.000300414619102659,4.57983321551943e-06
"1981-02-01",0.000120164071661238,0.000701917328990228,8.96542199601105e-05,-0.00058175325732899,3.05098517011275e-05
"1981-03-01",7.64780035725544e-05,0.000295913843648208,3.0823344563523e-05,-0.000219435840075654,4.56546590090314e-05
"1981-04-01",3.05660521172638e-05,8.23113029315961e-05,8.79390285050444e-06,-5.17452508143323e-05,2.17721492667594e-05
"1981-05-01",1.41828727540191e-05,3.23859283387622e-05,6.5451770632779e-06,-1.82030555847431e-05,7.6376956907412e-06
"1981-06-01",8.47492182410423e-06,9.25035830618893e-06,6.45706510960779e-06,-7.754364820847e-07,2.01785671449644e-06
"1981-07-01",6.29811810444468e-06,5.29270358306189e-06,5.42926572300446e-06,1.00541452138279e-06,8.68852381440215e-07
"1981-08-01",3.12600819586004e-06,2.52586319218241e-06,5.16357295145821e-06,6.0014500367763e-07,-2.03756475559817e-06
"1981-09-01",2.23789250814333e-06,2.90491856677524e-06,5.14095331197724e-06,-6.6702605863191e-07,-2.90306080383391e-06
"1981-10-01",1.13401702217085e-06,3.66302931596091e-06,5.53993593165671e-06,-2.52901229379006e-06,-4.40591890948586e-06
"1981-11-01",7.86488599348535e-07,2.41988599348534e-05,6.23935868338767e-06,-2.34123713355049e-05,-5.45287008403913e-06
"1981-12-01",6.95497530734475e-07,0.000110753648208469,1.09354208628317e-05,-0.000110058150677735,-1.02399233320972e-05
"1982-01-01",1.28866344436272e-06,0.000243224267100977,1.93828231806376e-05,-0.000241935603656614,-1.80941597362748e-05
"1982-02-01",4.61525360632853e-06,0.000102329120521173,9.25479570950478e-06,-9.77138669148445e-05,-4.63954210317625e-06
"1982-03-01",2.70212777135652e-06,7.49474267100977e-05,7.7816928260138e-06,-7.22452989387412e-05,-5.07956505465728e-06
"1982-04-01",9.10289902280127e-07,7.4904332247557e-05,7.10204086515136e-06,-7.39940423452769e-05,-6.19175096287124e-06
"1982-05-01",7.38081328149627e-07,5.58829641693811e-05,6.652857820961e-06,-5.51448828412315e-05,-5.91477649281137e-06
