"datetime","obs","pcr","pcr_corrected","res","res_corrected"
"1979-01-01",0,0.000215296174358738,1.72473808020849e-05,-0.000215296174358738,-1.72473808020849e-05
"1979-02-01",0,0.000772447477662596,0.000183229100360837,-0.000772447477662596,-0.000183229100360837
"1979-03-01",0,0.00102216295338582,0.000221247572654989,-0.00102216295338582,-0.000221247572654989
"1979-04-01",0,0.000275440186549073,4.14828982139668e-05,-0.000275440186549073,-4.14828982139668e-05
"1979-05-01",0,0.000162425802876734,1.72509096021471e-05,-0.000162425802876734,-1.72509096021471e-05
"1979-06-01",0,0.000134454302403435,1.15599302955684e-05,-0.000134454302403435,-1.15599302955684e-05
"1979-07-01",0,0.000112233093990257,1.05801587728809e-05,-0.000112233093990257,-1.05801587728809e-05
"1979-08-01",0,9.61272227737631e-05,7.73655063453716e-06,-9.61272227737631e-05,-7.73655063453716e-06
"1979-09-01",0,8.21092235587468e-05,5.74067838167923e-06,-8.21092235587468e-05,-5.74067838167923e-06
"1979-10-01",0,7.80691247431487e-05,5.74596154229047e-06,-7.80691247431487e-05,-5.74596154229047e-06
"1979-11-01",0,8.01536721076813e-05,6.30906851644656e-06,-8.01536721076813e-05,-6.30906851644656e-06
"1979-12-01",0,9.3268699928428e-05,7.49921242384646e-06,-9.3268699928428e-05,-7.49921242384646e-06
"1980-01-01",0,0.000612545074227137,9.32517057024302e-05,-0.000612545074227137,-9.32517057024302e-05
"1980-02-01",0,0.000327239360007388,3.27731051881432e-05,-0.000327239360007388,-3.27731051881432e-05
"1980-03-01",0,0.000397741611063653,4.4159052025022e-05,-0.000397741611063653,-4.4159052025022e-05
"1980-04-01",0,0.000156206737007365,1.30518725849453e-05,-0.000156206737007365,-1.30518725849453e-05
"1980-05-01",0,0.000152958566712073,1.03517030972985e-05,-0.000152958566712073,-1.03517030972985e-05
"1980-06-01",0,0.000128375536213146,1.36509366467472e-05,-0.000128375536213146,-1.36509366467472e-05
"1980-07-01",0,8.94945720684321e-05,7.41186660913431e-06,-8.94945720684321e-05,-7.41186660913431e-06
"1980-08-01",0,8.65821901045875e-05,7.01912161998444e-06,-8.65821901045875e-05,-7.01912161998444e-06
"1980-09-01",0,7.596861912128e-05,5.79557117034601e-06,-7.596861912128e-05,-5.79557117034601e-06
"1980-10-01",0,7.05640893034424e-05,6.3649624734356e-06,-7.05640893034424e-05,-6.3649624734356e-06
"1980-11-01",0,7.336742317549e-05,6.61371461447419e-06,-7.336742317549e-05,-6.61371461447419e-06
"1980-12-01",0,7.05521206104403e-05,7.0095179298011e-06,-7.05521206104403e-05,-7.0095179298011e-06
"1981-01-01",0,0.00141197198069864,0.00024145014460344,-0.00141197198069864,-0.00024145014460344
"1981-02-01",0,0.00101840611363794,0.000260707746673943,-0.00101840611363794,-0.000260707746673943
"1981-03-01",0,0.000364622907672062,5.652451768856e-05,-0.000364622907672062,-5.652451768856e-05
"1981-04-01",0,0.000311141467919562,3.50856903693118e-05,-0.000311141467919562,-3.50856903693118e-05
"1981-05-01",0,0.00029025343892134,2.0704470351944e-05,-0.00029025343892134,-2.0704470351944e-05
"1981-06-01",0,0.000234887594948399,3.40707921107142e-05,-0.000234887594948399,-3.40707921107142e-05
"1981-07-01",0,0.000207656158659063,2.07857051940825e-05,-0.000207656158659063,-2.07857051940825e-05
"1981-08-01",0,0.000158400997391084,1.21418440511158e-05,-0.000158400997391084,-1.21418440511158e-05
"1981-09-01",0,0.000133708253872971,9.45375624947226e-06,-0.000133708253872971,-9.45375624947226e-06
"1981-10-01",0,0.000106425618174682,7.14715670540531e-06,-0.000106425618174682,-7.14715670540531e-06
"1981-11-01",0,0.000238587250940826,1.6415857970932e-05,-0.000238587250940826,-1.6415857970932e-05
"1981-12-01",0,0.000275286588322213,3.00387294080852e-05,-0.000275286588322213,-3.00387294080852e-05
"1982-01-01",0,0.000250341837323667,1.85630195024282e-05,-0.000250341837323667,-1.85630195024282e-05
"1982-02-01",0,0.000240154484796712,2.08711079253026e-05,-0.000240154484796712,-2.08711079253026e-05
"1982-03-01",0,0.000288877039226098,2.8071004535165e-05,-0.000288877039226098,-2.8071004535165e-05
"1982-04-01",0,0.00015310086117332,1.14683207273806e-05,-0.00015310086117332,-1.14683207273806e-05
"1982-05-01",0,0.00011326772100755,6.80232215173392e-06,-0.00011326772100755,-6.80232215173392e-06
"1982-06-01",0,9.9784323413294e-05,7.03751144912444e-06,-9.9784323413294e-05,-7.03751144912444e-06
"1982-07-01",0,8.87418742640778e-05,6.49476237347073e-06,-8.87418742640778e-05,-6.49476237347073e-06
"1982-08-01",0,8.11630318841918e-05,5.51423270787426e-06,-8.11630318841918e-05,-5.51423270787426e-06
"1982-09-01",0,7.93703876434327e-05,4.88206688680032e-06,-7.93703876434327e-05,-4.88206688680032e-06
"1982-10-01",0,7.3839521621684e-05,4.94441365278617e-06,-7.3839521621684e-05,-4.94441365278617e-06
"1982-11-01",0,7.14344792556507e-05,4.70772700022198e-06,-7.14344792556507e-05,-4.70772700022198e-06
"1982-12-01",0,9.31829242952462e-05,6.47664581181616e-06,-9.31829242952462e-05,-6.47664581181616e-06
"1983-01-01",0,0.000235638297970586,2.54307294132099e-05,-0.000235638297970586,-2.54307294132099e-05
"1983-02-01",0,0.000104347720084039,5.94644462276348e-06,-0.000104347720084039,-5.94644462276348e-06
"1983-03-01",0,0.000220122882275529,1.89373186898457e-05,-0.000220122882275529,-1.89373186898457e-05
"1983-04-01",0,0.000292352614688431,1.98646298700819e-05,-0.000292352614688431,-1.98646298700819e-05
"1983-05-01",0,0.00103254512963775,0.000242327025760647,-0.00103254512963775,-0.000242327025760647
"1983-06-01",0,0.000396927075012121,9.47155481532049e-05,-0.000396927075012121,-9.47155481532049e-05
"1983-07-01",0,0.000247922166555076,4.21193403687384e-05,-0.000247922166555076,-4.21193403687384e-05
"1983-08-01",0,0.000194479957518528,2.21750582479326e-05,-0.000194479957518528,-2.21750582479326e-05
"1983-09-01",0,0.000160834631634844,1.15892824498682e-05,-0.000160834631634844,-1.15892824498682e-05
"1983-10-01",0,0.000140866197215617,9.77311705068159e-06,-0.000140866197215617,-9.77311705068159e-06
"1983-11-01",0,0.000244414674578071,1.94445241912669e-05,-0.000244414674578071,-1.94445241912669e-05
"1983-12-01",0,0.000179431985777942,1.20446357234813e-05,-0.000179431985777942,-1.20446357234813e-05
"1984-01-01",0,0.000532957920254889,5.71517230416558e-05,-0.000532957920254889,-5.71517230416558e-05
"1984-02-01",0,0.000648701830859096,0.000104326303432125,-0.000648701830859096,-0.000104326303432125
"1984-03-01",0,0.000316345854593309,4.07364307160913e-05,-0.000316345854593309,-4.07364307160913e-05
"1984-04-01",0,0.000187321349248494,1.51946940807943e-05,-0.000187321349248494,-1.51946940807943e-05
"1984-05-01",0,0.000140773772308545,1.08604757254844e-05,-0.000140773772308545,-1.08604757254844e-05
"1984-06-01",0,0.000124846101632304,7.9176376116044e-06,-0.000124846101632304,-7.9176376116044e-06
"1984-07-01",0,0.000192440625216448,1.73838483384847e-05,-0.000192440625216448,-1.73838483384847e-05
"1984-08-01",0,0.000198059261653545,1.65753189736571e-05,-0.000198059261653545,-1.65753189736571e-05
"1984-09-01",0,0.00014626008819523,1.03787106615235e-05,-0.00014626008819523,-1.03787106615235e-05
"1984-10-01",0,0.000140488518458661,7.97680062684559e-06,-0.000140488518458661,-7.97680062684559e-06
"1984-11-01",0,0.000144728095490961,7.24220040738376e-06,-0.000144728095490961,-7.24220040738376e-06
"1984-12-01",0,0.000224237452958696,1.63293185354878e-05,-0.000224237452958696,-1.63293185354878e-05
"1985-01-01",0,0.000146448927573708,8.70320052397166e-06,-0.000146448927573708,-8.70320052397166e-06
"1985-02-01",0,0.000187063357421559,1.17709463354388e-05,-0.000187063357421559,-1.17709463354388e-05
"1985-03-01",0,0.000259266492738901,2.23188342097891e-05,-0.000259266492738901,-2.23188342097891e-05
"1985-04-01",0,0.000165729162145314,1.44010952008725e-05,-0.000165729162145314,-1.44010952008725e-05
"1985-05-01",0,0.000155116921016785,8.44321984475505e-06,-0.000155116921016785,-8.44321984475505e-06
"1985-06-01",0,0.000181220640454367,1.34582158442973e-05,-0.000181220640454367,-1.34582158442973e-05
"1985-07-01",0,0.000183034562371574,1.72828513053372e-05,-0.000183034562371574,-1.72828513053372e-05
"1985-08-01",0,0.00010497607646665,8.02226308309893e-06,-0.00010497607646665,-8.02226308309893e-06
"1985-09-01",0,9.00983261376492e-05,5.18582333410559e-06,-9.00983261376492e-05,-5.18582333410559e-06
"1985-10-01",0,0.000168788493062129,8.94737135055357e-06,-0.000168788493062129,-8.94737135055357e-06
"1985-11-01",0,0.000221421485466257,2.13062998776691e-05,-0.000221421485466257,-2.13062998776691e-05
"1985-12-01",0,0.000219388137510678,1.73919055524957e-05,-0.000219388137510678,-1.73919055524957e-05
"1986-01-01",0,0.000179061621222266,1.01828570970768e-05,-0.000179061621222266,-1.01828570970768e-05
"1986-02-01",0,0.000487328608039157,5.4366005426211e-05,-0.000487328608039157,-5.4366005426211e-05
"1986-03-01",0,0.000153310313300857,1.14984147001006e-05,-0.000153310313300857,-1.14984147001006e-05
"1986-04-01",0,0.000113562283840879,6.18513226405593e-06,-0.000113562283840879,-6.18513226405593e-06
"1986-05-01",0,0.00019367606030522,1.23043164817335e-05,-0.00019367606030522,-1.23043164817335e-05
"1986-06-01",0,0.000118386332048115,8.96163687104102e-06,-0.000118386332048115,-8.96163687104102e-06
"1986-07-01",0,0.000100411349941126,7.3715054443808e-06,-0.000100411349941126,-7.3715054443808e-06
"1986-08-01",0,0.000108557375383834,1.05739637622171e-05,-0.000108557375383834,-1.05739637622171e-05
"1986-09-01",0,7.78430494308868e-05,5.43317672859028e-06,-7.78430494308868e-05,-5.43317672859028e-06
"1986-10-01",0,0.000146889109505229,1.54825291835954e-05,-0.000146889109505229,-1.54825291835954e-05
"1986-11-01",0,0.00010992380116824,7.65850203604442e-06,-0.00010992380116824,-7.65850203604442e-06
"1986-12-01",0,9.87596703068363e-05,7.7226786843809e-06,-9.87596703068363e-05,-7.7226786843809e-06
"1987-01-01",0,0.00014667500288597,1.43649781733303e-05,-0.00014667500288597,-1.43649781733303e-05
"1987-02-01",0,0.000237883092835869,1.90851096275356e-05,-0.000237883092835869,-1.90851096275356e-05
"1987-03-01",0,0.000185541338628126,1.48097870166033e-05,-0.000185541338628126,-1.48097870166033e-05
