"datetime","obs","pcr","pcr_corrected","res","res_corrected"
"1979-01-01",7.61265167291656e-06,2.46242967749123e-06,4.16664181160292e-05,5.15022199542533e-06,-3.40537664431126e-05
"1979-02-01",9.88810465421613e-06,1.77262853005069e-06,3.65499159688832e-05,8.11547612416544e-06,-2.6661811314667e-05
"1979-03-01",4.26636576149552e-05,0.0003317702890881,9.91590226507826e-05,-0.000289106631473145,-5.64953650358274e-05
"1979-04-01",3.99753133181084e-05,0.0002917778644237,0.000119268835558785,-0.000251802551105592,-7.92935222406761e-05
"1979-05-01",4.39017290667567e-05,0.0001981814738483,9.51611850794223e-05,-0.000154279744781543,-5.12594560126656e-05
"1979-06-01",1.64365175736646e-05,2.7199019662452e-05,6.9588876314127e-05,-1.07625020887874e-05,-5.31523587404624e-05
"1979-07-01",1.29861663878622e-06,8.11719489778867e-06,5.65434134393927e-05,-6.81857825900245e-06,-5.52447968006064e-05
"1979-08-01",4.7841047322489e-07,2.3260736367181e-05,4.88418353086606e-05,-2.27823258939561e-05,-4.83634248354357e-05
"1979-09-01",5.13340388792959e-08,6.36862919846265e-06,3.95547188381755e-05,-6.31729515958335e-06,-3.95033847992962e-05
"1979-10-01",1.24482456881139e-05,5.06923633933047e-06,3.44575219329726e-05,7.37900934878343e-06,-2.20092762448587e-05
"1979-11-01",2.54007241129616e-05,1.09245251490002e-05,3.18182445254024e-05,1.44761989639614e-05,-6.41752041244084e-06
"1979-12-01",1.89692728144995e-05,4.0906812231939e-06,3.17874930888236e-05,1.48785915913056e-05,-1.28182202743241e-05
"1980-01-01",2.62807509931847e-05,0.0001648303904639,6.34784413404684e-05,-0.000138549639470715,-3.71976903472837e-05
"1980-02-01",2.64713264712266e-05,0.0003942935442544,0.000103605522875966,-0.000367822217783173,-7.71341964047396e-05
"1980-03-01",3.17973489919018e-05,0.0004080013368239,0.000155586430970237,-0.000376203987831998,-0.000123789081978335
"1980-04-01",3.22746727566423e-05,0.0002367541915,0.000172397147644763,-0.000204479518743358,-0.000140122474888121
"1980-05-01",4.55641343076815e-05,0.0002269927031693,0.000173544510345599,-0.000181428568861618,-0.000127980376037918
"1980-06-01",2.71795020330864e-05,7.21965131175848e-05,0.000106923193300693,-4.50170110844984e-05,-7.97436912676063e-05
