"datetime","obs","pcr","pcr_corrected","res","res_corrected"
"1979-01-01",6.65720003779322e-06,1.63986566228323e-05,2.12923420359814e-05,-9.74145658503908e-06,-1.46351419981882e-05
"1979-02-01",2.2648432010857e-05,3.8265634797248e-05,0.000109052787199931,-1.5617202786391e-05,-8.64043551890742e-05
"1979-03-01",1.20383223246266e-05,0.000111069599649554,9.90790094379982e-05,-9.90312773249274e-05,-8.70406871133716e-05
"1979-04-01",1.67374350429039e-05,4.79714695549848e-05,2.24950889956044e-05,-3.12340345120809e-05,-5.75765395270046e-06
"1979-05-01",1.02650232342407e-05,2.14599245853483e-05,1.90251439607316e-05,-1.11949013511076e-05,-8.76012072649089e-06
"1979-06-01",1.06494421205432e-06,1.44810149197324e-05,1.82800059976098e-05,-1.34160707076781e-05,-1.72150617855555e-05
"1979-07-01",1.6957474038635e-07,1.80610085636e-05,1.8512289178255e-05,-1.78914338232136e-05,-1.83427144378686e-05
"1979-08-01",7.42121402128446e-09,1.21169871932522e-05,1.75514939800046e-05,-1.21095659792309e-05,-1.75440727659833e-05
"1979-09-01",0,8.17706466935228e-06,1.87605187939716e-05,-8.17706466935228e-06,-1.87605187939716e-05
"1979-10-01",0,8.40934866821848e-06,1.7185709118244e-05,-8.40934866821848e-06,-1.7185709118244e-05
"1979-11-01",0,1.09021344579679e-05,1.89234450562626e-05,-1.09021344579679e-05,-1.89234450562626e-05
"1979-12-01",0,1.32442696030853e-05,1.89313603740735e-05,-1.32442696030853e-05,-1.89313603740735e-05
"1980-01-01",0,7.11304810905062e-05,4.57160890519153e-05,-7.11304810905062e-05,-4.57160890519153e-05
"1980-02-01",1.89315169682966e-06,7.02269482834148e-05,4.04146824649784e-05,-6.83337965865851e-05,-3.85215307681487e-05
"1980-03-01",4.71840787473266e-06,0.000105368251977702,3.86224419218163e-05,-0.000100649844102969,-3.39040340470836e-05
"1980-04-01",6.66350806971131e-06,3.36273760339452e-05,1.93915816967588e-05,-2.69638679642339e-05,-1.27280736270474e-05
"1980-05-01",2.61115415338894e-06,1.20958367332915e-05,1.76564769502609e-05,-9.48468257990256e-06,-1.50453227968719e-05
"1980-06-01",3.82192522096149e-08,1.77712101560688e-05,1.70150277656069e-05,-1.77329909038592e-05,-1.69768085133973e-05
