"datetime","obs","pcr","pcr_corrected","res","res_corrected"
"1979-01-01",3.70930739526975e-05,2.16276899970417e-07,7.73922672346517e-05,3.68767970527271e-05,-4.02991932819542e-05
"1979-02-01",6.01619606054072e-05,1.25506140437378e-05,9.72962155469285e-05,4.76113465616694e-05,-3.71342549415213e-05
"1979-03-01",0.000111984923023392,8.96566058059182e-06,0.000105619915714916,0.0001030192624428,6.36500730847567e-06
"1979-04-01",0.00023412629806343,4.33864569031563e-06,0.000107818773464861,0.000229787652373114,0.000126307524598569
"1979-05-01",0.000289403016227277,1.76953827248523e-07,8.84091579247319e-05,0.000289226062400028,0.000200993858302545
"1979-06-01",7.23470261167709e-05,0,9.11737815415072e-05,7.23470261167709e-05,-1.88267554247363e-05
"1979-07-01",1.27928949111533e-05,2.6215381814596e-08,9.855774345573e-05,1.27666795293387e-05,-8.57648485445767e-05
"1979-08-01",2.35147746589536e-05,9.17538363510859e-08,9.58594130101563e-05,2.34230208226025e-05,-7.23446383512027e-05
"1979-09-01",1.22251063862066e-05,0,8.95018662692865e-05,1.22251063862066e-05,-7.72767598830799e-05
"1979-10-01",1.7127946557188e-05,6.55384545364899e-09,8.50443014657999e-05,1.71213927117344e-05,-6.79163549086119e-05
"1979-11-01",3.17339381480835e-05,0,6.53982960607678e-05,3.17339381480835e-05,-3.36643579126843e-05
"1979-12-01",3.59675038496257e-05,6.55384545364899e-09,6.64195519774684e-05,3.59609500041721e-05,-3.04520481278427e-05
"1980-01-01",0.000110966962834382,3.82089189947736e-06,9.0240323641245e-05,0.000107146070934905,2.0726639193137e-05
"1980-02-01",0.000432378654070952,6.77667619907306e-05,0.000184627327182472,0.000364611892080221,0.00024775132688848
"1980-03-01",0.000128920905333099,4.86819640297047e-05,0.000153306089455238,8.02389413033943e-05,-2.43851841221393e-05
"1980-04-01",0.000175457147408424,3.46698424498032e-06,0.00010618720634557,0.000171990163163444,6.92699410628543e-05
"1980-05-01",0.000275699982455543,3.53907654497045e-07,9.1749863322681e-05,0.000275346074801046,0.000183950119132862
"1980-06-01",8.47687478665868e-05,0,9.05197287150076e-05,8.47687478665868e-05,-5.75098084842077e-06
"1980-07-01",2.62513222574063e-05,1.11415372712033e-07,9.8666579469064e-05,2.61399068846943e-05,-7.24152572116577e-05
"1980-08-01",1.97027621629942e-05,1.17969218165682e-07,9.58563243844119e-05,1.95847929448285e-05,-7.61535622214177e-05
"1980-09-01",5.92011044443264e-05,9.17538363510859e-08,9.08503997231982e-05,5.91093506079753e-05,-3.16492952788718e-05
"1980-10-01",4.25587696466713e-05,1.11415372712033e-07,7.69301141490111e-05,4.24473542739593e-05,-3.43713445023398e-05
"1980-11-01",5.04355546115861e-05,2.6215381814596e-08,7.02849511418167e-05,5.04093392297715e-05,-1.98493965302306e-05
"1980-12-01",5.02997067849086e-05,1.3107690907298e-08,7.00584823612397e-05,5.02865990940013e-05,-1.97587755763311e-05
